Firm Name,AUM,Link
Granite Bay Wealth Management LLC,"$2,962,364",https://www.holdingschannel.com/13f/granite-bay-wealth-management-llc-top-holdings/
IMS Capital Management,"$222,944",https://www.holdingschannel.com/13f/ims-capital-management-top-holdings/
Regency Capital Management Inc. DE,"$155,341",https://www.holdingschannel.com/13f/regency-capital-management-inc-de-top-holdings/
Stonepine Capital Management LLC,"$109,606",https://www.holdingschannel.com/13f/stonepine-capital-management-llc-top-holdings/
Truist Financial Corp,"$65,751,684",https://www.holdingschannel.com/13f/truist-financial-corp-top-holdings/
Nantahala Capital Management LLC,"$1,710,892",https://www.holdingschannel.com/13f/nantahala-capital-management-llc-top-holdings/
Pathway Financial Advisers LLC,"$278,954",https://www.holdingschannel.com/13f/pathway-financial-advisers-llc-top-holdings/
HFG Wealth Management LLC,"$156,966",https://www.holdingschannel.com/13f/hfg-wealth-management-llc-top-holdings/
Novo Holdings A S,"$1,992,823",https://www.holdingschannel.com/13f/novo-holdings-a-s-top-holdings/
Next Capital Management LLC,"$238,328",https://www.holdingschannel.com/13f/next-capital-management-llc-top-holdings/
Senator Investment Group LP,"$2,050,283",https://www.holdingschannel.com/13f/senator-investment-group-lp-top-holdings/
Garde Capital Inc.,"$1,439,866",https://www.holdingschannel.com/13f/garde-capital-inc-top-holdings/
HWG Holdings LP,"$272,723",https://www.holdingschannel.com/13f/hwg-holdings-lp-top-holdings/
Point72 Asset Management L.P.,"$38,297,034",https://www.holdingschannel.com/13f/point72-asset-management-l-p-top-holdings/
Old North State Trust LLC,"$115,809",https://www.holdingschannel.com/13f/old-north-state-trust-llc-top-holdings/
Fiera Capital Corp,"$31,963,213",https://www.holdingschannel.com/13f/fiera-capital-corp-top-holdings/
EP Wealth Advisors LLC,"$9,412,702",https://www.holdingschannel.com/13f/ep-wealth-advisors-llc-top-holdings/
Hershey Financial Advisers LLC,"$111,443",https://www.holdingschannel.com/13f/hershey-financial-advisers-llc-top-holdings/
Chase Investment Counsel Corp,"$298,966",https://www.holdingschannel.com/13f/chase-investment-counsel-corp-top-holdings/
Brown Shipley& Co Ltd,"$221,470",https://www.holdingschannel.com/13f/brown-shipley-co-ltd-top-holdings/
Kimelman & Baird LLC,"$1,212,410",https://www.holdingschannel.com/13f/kimelman-baird-llc-top-holdings/
Brandes Investment Partners LP,"$8,121,777",https://www.holdingschannel.com/13f/brandes-investment-partners-lp-top-holdings/
Lynx1 Capital Management LP,"$276,699",https://www.holdingschannel.com/13f/lynx1-capital-management-lp-top-holdings/
B. Riley Wealth Advisors Inc.,"$3,928,416",https://www.holdingschannel.com/13f/b-riley-wealth-advisors-inc-top-holdings/
Connective Capital Management LLC,"$55,633",https://www.holdingschannel.com/13f/connective-capital-management-llc-top-holdings/
CMG Global Holdings LLC,"$151,217",https://www.holdingschannel.com/13f/cmg-global-holdings-llc-top-holdings/
Newport Capital Group LLC,"$126,338",https://www.holdingschannel.com/13f/newport-capital-group-llc-top-holdings/
Gateway Wealth Partners LLC,"$330,886",https://www.holdingschannel.com/13f/gateway-wealth-partners-llc-top-holdings/
Perceptive Advisors LLC,"$4,204,512",https://www.holdingschannel.com/13f/perceptive-advisors-llc-top-holdings/
Traction Financial Partners LLC,"$137,127",https://www.holdingschannel.com/13f/traction-financial-partners-llc-top-holdings/
Core Alternative Capital,"$500,197",https://www.holdingschannel.com/13f/core-alternative-capital-top-holdings/
Ironwood Investment Management LLC,"$187,010",https://www.holdingschannel.com/13f/ironwood-investment-management-llc-top-holdings/
Kampmann Melissa S.,"$136,914",https://www.holdingschannel.com/13f/kampmann-melissa-s-top-holdings/
Wallace Capital Management Inc.,"$780,671",https://www.holdingschannel.com/13f/wallace-capital-management-inc-top-holdings/
Saratoga Research & Investment Management,"$2,199,299",https://www.holdingschannel.com/13f/saratoga-research-investment-management-top-holdings/
Ecofi Investissements SA,"$181,851",https://www.holdingschannel.com/13f/ecofi-investissements-sa-top-holdings/
Seaport Global Advisors LLC,"$27,922",https://www.holdingschannel.com/13f/seaport-global-advisors-llc-top-holdings/
Capital Impact Advisors LLC,"$35,529",https://www.holdingschannel.com/13f/capital-impact-advisors-llc-top-holdings/
Progeny 3 Inc.,"$1,043,293",https://www.holdingschannel.com/13f/progeny-3-inc-top-holdings/
Second Line Capital LLC,"$326,889",https://www.holdingschannel.com/13f/second-line-capital-llc-top-holdings/
Covington Investment Advisors Inc.,"$623,090",https://www.holdingschannel.com/13f/covington-investment-advisors-inc-top-holdings/
Teewinot Capital Advisers L.L.C.,"$1,014,097",https://www.holdingschannel.com/13f/teewinot-capital-advisers-l-l-c-top-holdings/
Invst LLC,"$906,305",https://www.holdingschannel.com/13f/invst-llc-top-holdings/
